kode;beskrivelse
0;vindstille (helt)
1;flau vind (Man kan se vindretningen av oppstigende røyk.)
2;svak vind (Såvidt følbar vind. Blad på trær rører seg.)
3;lett bris (Løv og småkvist rører seg.
4;laber bris (Kvister og smågrener begynner å røre seg. Støv og løst papir løftes.)
5;frisk bris (Støvet fyker på tørr vei. Småtrær og løv begynner å svaie. Småbølger begynner å toppe seg.)
