fid,grunntype_or_kle_fkey,var_name,var_kode_id,maaleskala,values,display_str
55,116,Våtmarkspreg,RM-VP,VP-SO,"0,a","Våtmarkspreg RM-VP: VP-SO(0,a)"
56,116,Relieff i kystslettelandskap,TF-RK,RK-SO,a,Relieff i kystslettelandskap TF-RK: RK-SO(a)
57,116,Indre-ytre kyst,RM-YK,YK-SO,d,Indre-ytre kyst RM-YK: YK-SO(d)
58,116,Jordbrukspreg,RM-JP,JP-SO,b,Jordbrukspreg RM-JP: JP-SO(b)
59,116,Arealbruksintensitet,RM-AI,AI-SO,"0,a,b","Arealbruksintensitet RM-AI: AI-SO(0,a,b)"
60,117,Relieff i kystslettelandskap,TF-RK,RK-SO,a,Relieff i kystslettelandskap TF-RK: RK-SO(a)
61,117,Jordbrukspreg,RM-JP,JP-SO,"0,a","Jordbrukspreg RM-JP: JP-SO(0,a)"
62,117,Indre-ytre kyst,RM-YK,YK-SO,d,Indre-ytre kyst RM-YK: YK-SO(d)
63,117,Våtmarkspreg,RM-VP,VP-SO,"0,a","Våtmarkspreg RM-VP: VP-SO(0,a)"
64,117,Arealbruksintensitet,RM-AI,AI-SO,"0,a,b","Arealbruksintensitet RM-AI: AI-SO(0,a,b)"
65,118,Relieff i kystslettelandskap,TF-RK,RK-SO,c,Relieff i kystslettelandskap TF-RK: RK-SO(c)
66,118,Våtmarkspreg,RM-VP,VP-SO,"0,a","Våtmarkspreg RM-VP: VP-SO(0,a)"
67,118,Indre-ytre kyst,RM-YK,YK-SO,c,Indre-ytre kyst RM-YK: YK-SO(c)
68,118,Jordbrukspreg,RM-JP,JP-SO,"0,a","Jordbrukspreg RM-JP: JP-SO(0,a)"
69,118,Arealbruksintensitet,RM-AI,AI-SO,c,Arealbruksintensitet RM-AI: AI-SO(c)
70,104,Jordbrukspreg,RM-JP,JP-SO,"0,a","Jordbrukspreg RM-JP: JP-SO(0,a)"
71,104,Relieff i kystslettelandskap,TF-RK,RK-SO,c,Relieff i kystslettelandskap TF-RK: RK-SO(c)
72,104,Indre-ytre kyst,RM-YK,YK-SO,c,Indre-ytre kyst RM-YK: YK-SO(c)
73,104,Våtmarkspreg,RM-VP,VP-SO,"0,a","Våtmarkspreg RM-VP: VP-SO(0,a)"
74,104,Arealbruksintensitet,RM-AI,AI-SO,"0,a,b","Arealbruksintensitet RM-AI: AI-SO(0,a,b)"
75,105,Relieff i kystslettelandskap,TF-RK,RK-SO,b,Relieff i kystslettelandskap TF-RK: RK-SO(b)
76,105,Indre-ytre kyst,RM-YK,YK-SO,c,Indre-ytre kyst RM-YK: YK-SO(c)
77,105,Våtmarkspreg,RM-VP,VP-SO,b,Våtmarkspreg RM-VP: VP-SO(b)
78,105,Jordbrukspreg,RM-JP,JP-SO,"0,a","Jordbrukspreg RM-JP: JP-SO(0,a)"
79,105,Arealbruksintensitet,RM-AI,AI-SO,"0,a,b","Arealbruksintensitet RM-AI: AI-SO(0,a,b)"
80,120,Våtmarkspreg,RM-VP,VP-SO,"0,a","Våtmarkspreg RM-VP: VP-SO(0,a)"
81,120,Relieff i kystslettelandskap,TF-RK,RK-SO,b,Relieff i kystslettelandskap TF-RK: RK-SO(b)
82,120,Indre-ytre kyst,RM-YK,YK-SO,c,Indre-ytre kyst RM-YK: YK-SO(c)
83,120,Jordbrukspreg,RM-JP,JP-SO,b,Jordbrukspreg RM-JP: JP-SO(b)
84,120,Arealbruksintensitet,RM-AI,AI-SO,c,Arealbruksintensitet RM-AI: AI-SO(c)
85,121,Indre-ytre kyst,RM-YK,YK-SO,c,Indre-ytre kyst RM-YK: YK-SO(c)
86,121,Våtmarkspreg,RM-VP,VP-SO,"0,a","Våtmarkspreg RM-VP: VP-SO(0,a)"
87,121,Relieff i kystslettelandskap,TF-RK,RK-SO,b,Relieff i kystslettelandskap TF-RK: RK-SO(b)
88,121,Jordbrukspreg,RM-JP,JP-SO,"0,a","Jordbrukspreg RM-JP: JP-SO(0,a)"
89,121,Arealbruksintensitet,RM-AI,AI-SO,c,Arealbruksintensitet RM-AI: AI-SO(c)
90,122,Indre-ytre kyst,RM-YK,YK-SO,c,Indre-ytre kyst RM-YK: YK-SO(c)
91,122,Våtmarkspreg,RM-VP,VP-SO,"0,a","Våtmarkspreg RM-VP: VP-SO(0,a)"
92,122,Relieff i kystslettelandskap,TF-RK,RK-SO,b,Relieff i kystslettelandskap TF-RK: RK-SO(b)
93,122,Jordbrukspreg,RM-JP,JP-SO,b,Jordbrukspreg RM-JP: JP-SO(b)
94,122,Arealbruksintensitet,RM-AI,AI-SO,"0,a,b","Arealbruksintensitet RM-AI: AI-SO(0,a,b)"
95,123,Våtmarkspreg,RM-VP,VP-SO,"0,a","Våtmarkspreg RM-VP: VP-SO(0,a)"
96,123,Jordbrukspreg,RM-JP,JP-SO,"0,a","Jordbrukspreg RM-JP: JP-SO(0,a)"
97,123,Relieff i kystslettelandskap,TF-RK,RK-SO,b,Relieff i kystslettelandskap TF-RK: RK-SO(b)
98,123,Indre-ytre kyst,RM-YK,YK-SO,c,Indre-ytre kyst RM-YK: YK-SO(c)
99,123,Arealbruksintensitet,RM-AI,AI-SO,"0,a,b","Arealbruksintensitet RM-AI: AI-SO(0,a,b)"
100,124,Våtmarkspreg,RM-VP,VP-SO,b,Våtmarkspreg RM-VP: VP-SO(b)
101,124,Relieff i kystslettelandskap,TF-RK,RK-SO,a,Relieff i kystslettelandskap TF-RK: RK-SO(a)
102,124,Indre-ytre kyst,RM-YK,YK-SO,c,Indre-ytre kyst RM-YK: YK-SO(c)
103,124,Jordbrukspreg,RM-JP,JP-SO,"0,a","Jordbrukspreg RM-JP: JP-SO(0,a)"
104,124,Arealbruksintensitet,RM-AI,AI-SO,c,Arealbruksintensitet RM-AI: AI-SO(c)
105,125,Relieff i kystslettelandskap,TF-RK,RK-SO,a,Relieff i kystslettelandskap TF-RK: RK-SO(a)
106,125,Indre-ytre kyst,RM-YK,YK-SO,c,Indre-ytre kyst RM-YK: YK-SO(c)
107,125,Våtmarkspreg,RM-VP,VP-SO,b,Våtmarkspreg RM-VP: VP-SO(b)
108,125,Jordbrukspreg,RM-JP,JP-SO,"0,a","Jordbrukspreg RM-JP: JP-SO(0,a)"
109,125,Arealbruksintensitet,RM-AI,AI-SO,"0,a,b","Arealbruksintensitet RM-AI: AI-SO(0,a,b)"
110,126,Relieff i kystslettelandskap,TF-RK,RK-SO,a,Relieff i kystslettelandskap TF-RK: RK-SO(a)
111,126,Indre-ytre kyst,RM-YK,YK-SO,c,Indre-ytre kyst RM-YK: YK-SO(c)
112,126,Våtmarkspreg,RM-VP,VP-SO,"0,a","Våtmarkspreg RM-VP: VP-SO(0,a)"
113,126,Jordbrukspreg,RM-JP,JP-SO,b,Jordbrukspreg RM-JP: JP-SO(b)
114,126,Arealbruksintensitet,RM-AI,AI-SO,c,Arealbruksintensitet RM-AI: AI-SO(c)
115,127,Våtmarkspreg,RM-VP,VP-SO,"0,a","Våtmarkspreg RM-VP: VP-SO(0,a)"
116,127,Relieff i kystslettelandskap,TF-RK,RK-SO,a,Relieff i kystslettelandskap TF-RK: RK-SO(a)
117,127,Indre-ytre kyst,RM-YK,YK-SO,c,Indre-ytre kyst RM-YK: YK-SO(c)
118,127,Jordbrukspreg,RM-JP,JP-SO,"0,a","Jordbrukspreg RM-JP: JP-SO(0,a)"
119,127,Arealbruksintensitet,RM-AI,AI-SO,c,Arealbruksintensitet RM-AI: AI-SO(c)
120,128,Våtmarkspreg,RM-VP,VP-SO,"0,a","Våtmarkspreg RM-VP: VP-SO(0,a)"
121,128,Relieff i kystslettelandskap,TF-RK,RK-SO,a,Relieff i kystslettelandskap TF-RK: RK-SO(a)
122,128,Indre-ytre kyst,RM-YK,YK-SO,c,Indre-ytre kyst RM-YK: YK-SO(c)
123,128,Jordbrukspreg,RM-JP,JP-SO,b,Jordbrukspreg RM-JP: JP-SO(b)
124,128,Arealbruksintensitet,RM-AI,AI-SO,"0,a,b","Arealbruksintensitet RM-AI: AI-SO(0,a,b)"
125,129,Jordbrukspreg,RM-JP,JP-SO,"0,a","Jordbrukspreg RM-JP: JP-SO(0,a)"
126,129,Relieff i kystslettelandskap,TF-RK,RK-SO,a,Relieff i kystslettelandskap TF-RK: RK-SO(a)
127,129,Indre-ytre kyst,RM-YK,YK-SO,c,Indre-ytre kyst RM-YK: YK-SO(c)
128,129,Våtmarkspreg,RM-VP,VP-SO,"0,a","Våtmarkspreg RM-VP: VP-SO(0,a)"
129,129,Arealbruksintensitet,RM-AI,AI-SO,"0,a,b","Arealbruksintensitet RM-AI: AI-SO(0,a,b)"
130,130,Relieff i kystslettelandskap,TF-RK,RK-SO,c,Relieff i kystslettelandskap TF-RK: RK-SO(c)
131,130,Indre-ytre kyst,RM-YK,YK-SO,b,Indre-ytre kyst RM-YK: YK-SO(b)
132,130,Våtmarkspreg,RM-VP,VP-SO,b,Våtmarkspreg RM-VP: VP-SO(b)
133,130,Jordbrukspreg,RM-JP,JP-SO,b,Jordbrukspreg RM-JP: JP-SO(b)
134,130,Arealbruksintensitet,RM-AI,AI-SO,"0,a,b","Arealbruksintensitet RM-AI: AI-SO(0,a,b)"
135,131,Indre-ytre kyst,RM-YK,YK-SO,b,Indre-ytre kyst RM-YK: YK-SO(b)
136,131,Våtmarkspreg,RM-VP,VP-SO,"0,a","Våtmarkspreg RM-VP: VP-SO(0,a)"
137,131,Relieff i kystslettelandskap,TF-RK,RK-SO,c,Relieff i kystslettelandskap TF-RK: RK-SO(c)
138,131,Jordbrukspreg,RM-JP,JP-SO,"0,a","Jordbrukspreg RM-JP: JP-SO(0,a)"
139,131,Arealbruksintensitet,RM-AI,AI-SO,c,Arealbruksintensitet RM-AI: AI-SO(c)
140,132,Arealbruksintensitet,RM-AI,AI-SO,"0,a,b","Arealbruksintensitet RM-AI: AI-SO(0,a,b)"
141,132,Jordbrukspreg,RM-JP,JP-SO,b,Jordbrukspreg RM-JP: JP-SO(b)
142,132,Relieff i kystslettelandskap,TF-RK,RK-SO,c,Relieff i kystslettelandskap TF-RK: RK-SO(c)
143,132,Indre-ytre kyst,RM-YK,YK-SO,b,Indre-ytre kyst RM-YK: YK-SO(b)
144,132,Våtmarkspreg,RM-VP,VP-SO,"0,a","Våtmarkspreg RM-VP: VP-SO(0,a)"
145,133,Relieff i kystslettelandskap,TF-RK,RK-SO,c,Relieff i kystslettelandskap TF-RK: RK-SO(c)
146,133,Jordbrukspreg,RM-JP,JP-SO,"0,a","Jordbrukspreg RM-JP: JP-SO(0,a)"
147,133,Indre-ytre kyst,RM-YK,YK-SO,b,Indre-ytre kyst RM-YK: YK-SO(b)
148,133,Våtmarkspreg,RM-VP,VP-SO,"0,a","Våtmarkspreg RM-VP: VP-SO(0,a)"
149,133,Arealbruksintensitet,RM-AI,AI-SO,"0,a,b","Arealbruksintensitet RM-AI: AI-SO(0,a,b)"
