fid,hovedtyper_fkey,langkode,kode_id,navn
0,293,NiN-3.0-T-C-PE-NA-MB-MM02-M020-02,MM02-M020-02,MM02-M020-02 Sterkt endret marin bunn av uorganisk substrat preget av kronisk kjemisk påvirkning
1,293,NiN-3.0-T-C-PE-NA-MB-MM02-M020-01,MM02-M020-01,MM02-M020-01 Sterkt endret marin fastbunn preget av kronisk kjemisk påvirkning
2,294,NiN-3.0-T-C-PE-NA-MB-MM01-M020-01,MM01-M020-01,MM01-M020-01 Sterkt endret eller ny marin fastbunn i øvre sjøkantbelte
3,294,NiN-3.0-T-C-PE-NA-MB-MM01-M020-05,MM01-M020-05,MM01-M020-05 Sterkt endret eller ny marin bunn av dy og gytje
4,294,NiN-3.0-T-C-PE-NA-MB-MM01-M020-04,MM01-M020-04,MM01-M020-04 Sterkt endret eller ny uorganisk marin bunn
5,294,NiN-3.0-T-C-PE-NA-MB-MM01-M020-03,MM01-M020-03,MM01-M020-03 Sterkt endret eller ny marin fastbunn i afotisk sone
6,294,NiN-3.0-T-C-PE-NA-MB-MM01-M020-02,MM01-M020-02,MM01-M020-02 Sterkt endret eller ny marin fastbunn i nedre sjøkantbelte til rødalgebeltet
7,295,NiN-3.0-T-C-PE-NA-MB-MJ01-M020-01,MJ01-M020-01,MJ01-M020-01 Taretrålingsbunn
8,296,NiN-3.0-T-C-PE-NA-MB-MF01-M020-02,MF01-M020-02,MF01-M020-02 Undervannseng i ekstrembrakt vann
9,296,NiN-3.0-T-C-PE-NA-MB-MF01-M020-01,MF01-M020-01,MF01-M020-01 Undervannseng i nokså brakt vann
10,297,NiN-3.0-T-C-PE-NA-MB-MC10-M020-01,MC10-M020-01,MC10-M020-01 Havis-underside
11,298,NiN-3.0-T-C-PE-NA-MB-MC09-M020-02,MC09-M020-02,MC09-M020-02 Brakkvannspreget havisbunn
12,298,NiN-3.0-T-C-PE-NA-MB-MC09-M020-01,MC09-M020-01,MC09-M020-01 Temmelig til normalsalt havisbunn
13,299,NiN-3.0-T-C-PE-NA-MB-MC08-M020-03,MC08-M020-03,MC08-M020-03 Afotisk periodisk oksygenfri marin bunn
14,299,NiN-3.0-T-C-PE-NA-MB-MC08-M020-04,MC08-M020-04,MC08-M020-04 Afotisk oksygenfri marin bunn
15,299,NiN-3.0-T-C-PE-NA-MB-MC08-M020-02,MC08-M020-02,MC08-M020-02 Eufotisk oksygenfri marin bunn
16,299,NiN-3.0-T-C-PE-NA-MB-MC08-M020-01,MC08-M020-01,MC08-M020-01 Eufotisk periodisk oksygenfri marin bunn
17,300,NiN-3.0-T-C-PE-NA-MB-MC07-M020-02,MC07-M020-02,MC07-M020-02 Temmelig til sterkt jordvarmepåvirket varm havkilde
18,300,NiN-3.0-T-C-PE-NA-MB-MC07-M020-03,MC07-M020-03,MC07-M020-03 Svært sterkt til disruptivt jordvarmepåvirket varm havkilde
19,300,NiN-3.0-T-C-PE-NA-MB-MC07-M020-01,MC07-M020-01,MC07-M020-01 Litt til klart jordvarmepåvirket varm havkilde
20,301,NiN-3.0-T-C-PE-NA-MB-MC06-M020-02,MC06-M020-02,MC06-M020-02 Mudderførende kald havkilde i atlantisk vann
21,301,NiN-3.0-T-C-PE-NA-MB-MC06-M020-05,MC06-M020-05,MC06-M020-05 Vann- og gassførende kald havkilde i dyphavsvann
22,301,NiN-3.0-T-C-PE-NA-MB-MC06-M020-04,MC06-M020-04,MC06-M020-04 Mudderførende kald havkilde i intermediært vann
23,301,NiN-3.0-T-C-PE-NA-MB-MC06-M020-03,MC06-M020-03,MC06-M020-03 Vann- og gassførende kald havkilde i intermediært vann
24,301,NiN-3.0-T-C-PE-NA-MB-MC06-M020-01,MC06-M020-01,MC06-M020-01 Vann- og gassførende kald havkilde i atlantisk vann
25,302,NiN-3.0-T-C-PE-NA-MB-MC05-M020-02,MC05-M020-02,MC05-M020-02 Marine grotter og overheng under øvre sjøkantbelte
26,302,NiN-3.0-T-C-PE-NA-MB-MC05-M020-01,MC05-M020-01,MC05-M020-01 Marine grotter og overheng i øvre sjøkantbelte
