fid,hovedtypegrupper_fkey,langkode,kode_id,navn
215,46,NIN-3.0-T-A-MV-0-0-V-B07,MV-B07,Stabilisert iskaldt fjord-dypvann
216,46,NIN-3.0-T-A-MV-0-0-V-B06,MV-B06,Stabilisert kaldt fjord-dypvann
217,46,NIN-3.0-T-A-MV-0-0-V-B05,MV-B05,Fjord-dypvann dannet fra kystvann
218,46,NIN-3.0-T-A-MV-0-0-V-B04,MV-B04,Fjord-dypvann dannet fra atlantisk vann
219,46,NIN-3.0-T-A-MV-0-0-V-B03,MV-B03,Stabilisert varmt intermediært fjordvann
220,46,NIN-3.0-T-A-MV-0-0-V-B02,MV-B02,Øvre fjordvannlag med estuarin sirkulasjon
221,46,NIN-3.0-T-A-MV-0-0-V-B01,MV-B01,Tidevannsbetinget fullsirkulerende fjordvann
222,47,NIN-3.0-T-A-MV-0-0-V-A05,MV-A05,Arktisk vann
223,47,NIN-3.0-T-A-MV-0-0-V-A04,MV-A04,Dyphavsvann
224,47,NIN-3.0-T-A-MV-0-0-V-A03,MV-A03,Intermediært vann
225,47,NIN-3.0-T-A-MV-0-0-V-A02,MV-A02,Atlantisk vann
226,47,NIN-3.0-T-A-MV-0-0-V-A01,MV-A01,Kystvann
227,48,NIN-3.0-T-C-LI-0-0-I-MU01,LI-MU01,Substratfrie livsmedier i marine systemer
228,49,NIN-3.0-T-C-LI-0-0-I-TU02,LI-TU02,Luft
229,49,NIN-3.0-T-C-LI-0-0-I-TU01,LI-TU01,Snø og is på land
230,50,NIN-3.0-T-C-LI-0-0-I-TS09,LI-TS09,Dødt plantemateriale
231,50,NIN-3.0-T-C-LI-0-0-I-TS08,LI-TS08,Levende dyr og dyrebo
232,50,NIN-3.0-T-C-LI-0-0-I-TS07,LI-TS07,Lav og markboende sopp
233,50,NIN-3.0-T-C-LI-0-0-I-TS12,LI-TS12,Syntetiske livsmedier på land
234,50,NIN-3.0-T-C-LI-0-0-I-TS11,LI-TS11,Dyremøkk og fuglegjødsel
235,50,NIN-3.0-T-C-LI-0-0-I-TS10,LI-TS10,Dødt animalsk materiale
236,50,NIN-3.0-T-C-LI-0-0-I-TS06,LI-TS06,Ved-livsmedier
237,50,NIN-3.0-T-C-LI-0-0-I-TS05,LI-TS05,"Bladverk, nåleverk og reproduktive deler av levende forvedete planter på land"
238,50,NIN-3.0-T-C-LI-0-0-I-TS04,LI-TS04,"Levende, ikke forvedete planter på land"
239,50,NIN-3.0-T-C-LI-0-0-I-TS03,LI-TS03,Organisk jord
240,50,NIN-3.0-T-C-LI-0-0-I-TS02,LI-TS02,Finere uorganiske substrater på land
241,50,NIN-3.0-T-C-LI-0-0-I-TS01,LI-TS01,Grovere uorganiske substrater på land
242,51,NIN-3.0-T-C-LI-0-0-I-MS09,LI-MS09,Syntetiske livsmedier i marine systemer
243,51,NIN-3.0-T-C-LI-0-0-I-MS08,LI-MS08,Døde dyr i marine systemer
