fid,hovedtypegrupper_fkey,langkode,kode_id,navn
413,63,NIN-3.0-T-C-PE-NA-MB-A-LA02,NA-LA02,Eufotisk innsjø-sedimentbunn
414,63,NIN-3.0-T-C-PE-NA-MB-A-LA01,NA-LA01,Eufotisk fast innsjøbunn
415,64,NIN-3.0-T-C-PE-NA-MB-A-IA01,NA-IA01,Snø og isflater
416,65,NIN-3.0-T-C-SE-NK-0-K-E03,NK-E03,Flommarkskompleks
417,65,NIN-3.0-T-C-SE-NK-0-K-E02,NK-E02,Skredmarkskompleks
418,65,NIN-3.0-T-C-SE-NK-0-K-E01,NK-E01,Sanddynekompleks
419,66,NIN-3.0-T-C-SE-NK-0-K-D03,NK-D03,Fossesprutkompleks
420,66,NIN-3.0-T-C-SE-NK-0-K-D02,NK-D02,Rasmarkskompleks
421,66,NIN-3.0-T-C-SE-NK-0-K-D01,NK-D01,Flomskredkompleks
422,67,NIN-3.0-T-C-SE-NK-0-K-C08,NK-C08,Snøleiekompleks
423,67,NIN-3.0-T-C-SE-NK-0-K-C07,NK-C07,Saltpannekompleks
424,67,NIN-3.0-T-C-SE-NK-0-K-C06,NK-C06,Fuglefjellkompleks
425,67,NIN-3.0-T-C-SE-NK-0-K-C05,NK-C05,Grunnkildekompleks
426,67,NIN-3.0-T-C-SE-NK-0-K-C04,NK-C04,Torvkildekompleks
427,67,NIN-3.0-T-C-SE-NK-0-K-C03,NK-C03,Ferskvanns- og våtmarkskildekompleks
428,67,NIN-3.0-T-C-SE-NK-0-K-C02,NK-C02,Ferskvannskildekompleks
429,67,NIN-3.0-T-C-SE-NK-0-K-C01,NK-C01,Varmkildekompleks
