fid,hovedtyper_fkey,langkode,kode_id,navn,kartleggingsenhet_m005_fkey,kartleggingsenhet_m020_fkey,kartleggingsenhet_m050_fkey
756,340,NIN-3.0-T-C-PE-NA-MB-TK01-27,TK01-27,TK01-27 Kalkrik åpen semi-naturlig eng på stabilisert sand,TK01-M005-27,TK01-M020-07,
757,340,NIN-3.0-T-C-PE-NA-MB-TK01-26,TK01-26,TK01-26 Klart kalkrik kildevannspåvirket semi-naturlig fukteng,TK01-M005-26,,TK01-M050-02
758,340,NIN-3.0-T-C-PE-NA-MB-TK01-25,TK01-25,TK01-25 Svakt kalkrik kildevannspåvirket semi-naturlig fukteng,TK01-M005-25,,TK01-M050-01
759,340,NIN-3.0-T-C-PE-NA-MB-TK01-24,TK01-24,TK01-24 Klart kalkrik åpen semi-naturlig markryddet tørreng,TK01-M005-24,TK01-M020-06,TK01-M050-02
760,340,NIN-3.0-T-C-PE-NA-MB-TK01-23,TK01-23,TK01-23 Svakt kalkrik åpen semi-naturlig markryddet tørreng,TK01-M005-23,TK01-M020-05,TK01-M050-01
761,340,NIN-3.0-T-C-PE-NA-MB-TK01-22,TK01-22,TK01-22 Kalkfattig åpen semi-naturlig markryddet tørreng,TK01-M005-22,TK01-M020-04,TK01-M050-01
762,340,NIN-3.0-T-C-PE-NA-MB-TK01-21,TK01-21,TK01-21 Klart kalkrik åpen semi-naturlig markryddet eng,TK01-M005-21,TK01-M020-06,TK01-M050-02
763,340,NIN-3.0-T-C-PE-NA-MB-TK01-20,TK01-20,TK01-20 Svakt kalkrik åpen semi-naturlig markryddet eng,TK01-M005-20,TK01-M020-05,TK01-M050-01
764,340,NIN-3.0-T-C-PE-NA-MB-TK01-19,TK01-19,TK01-19 Kalkfattig åpen semi-naturlig markryddet eng,TK01-M005-19,TK01-M020-04,TK01-M050-01
765,340,NIN-3.0-T-C-PE-NA-MB-TK01-18,TK01-18,TK01-18 Klart kalkrik åpen semi-naturlig ikke markryddet tørreng,TK01-M005-18,TK01-M020-06,TK01-M050-02
766,340,NIN-3.0-T-C-PE-NA-MB-TK01-17,TK01-17,TK01-17 Svakt kalkrik åpen semi-naturlig ikke markryddet tørreng,TK01-M005-17,TK01-M020-05,TK01-M050-01
767,340,NIN-3.0-T-C-PE-NA-MB-TK01-16,TK01-16,TK01-16 Kalkfattig åpen semi-naturlig ikke markryddet tørreng,TK01-M005-16,TK01-M020-04,TK01-M050-01
768,340,NIN-3.0-T-C-PE-NA-MB-TK01-15,TK01-15,TK01-15 Klart kalkrik åpen semi-naturlig ikke markryddet eng,TK01-M005-15,TK01-M020-06,TK01-M050-02
769,340,NIN-3.0-T-C-PE-NA-MB-TK01-14,TK01-14,TK01-14 Svakt kalkrik åpen semi-naturlig ikke markryddet eng,TK01-M005-14,TK01-M020-05,TK01-M050-01
770,340,NIN-3.0-T-C-PE-NA-MB-TK01-13,TK01-13,TK01-13 Kalkfattig åpen semi-naturlig ikke markryddet eng,TK01-M005-13,TK01-M020-04,TK01-M050-01
771,340,NIN-3.0-T-C-PE-NA-MB-TK01-12,TK01-12,TK01-12 Klart kalkrik semi-naturlig markryddet tørreng med åpent tresjikt,TK01-M005-12,TK01-M020-03,TK01-M050-02
772,340,NIN-3.0-T-C-PE-NA-MB-TK01-11,TK01-11,TK01-11 Svakt kalkrik semi-naturlig markryddet tørreng med åpent tresjikt,TK01-M005-11,TK01-M020-02,TK01-M050-01
773,340,NIN-3.0-T-C-PE-NA-MB-TK01-10,TK01-10,TK01-10 Kalkfattig semi-naturlig markryddet tørreng med åpent tresjikt,TK01-M005-10,TK01-M020-01,TK01-M050-01
