fid,hovedtyper_fkey,langkode,kode_id,navn,kartleggingsenhet_m005_fkey,kartleggingsenhet_m020_fkey,kartleggingsenhet_m050_fkey
0,227,NIN-3.0-T-C-LI-0-0-TU01-02,TU01-02,TU01-02 Is,,,
1,227,NIN-3.0-T-C-LI-0-0-TU01-01,TU01-01,TU01-01 Snø,,,
2,228,NIN-3.0-T-C-LI-0-0-TS12-01,TS12-01,TS12-01 Syntetiske livsmedier på land,,,
3,229,NIN-3.0-T-C-LI-0-0-TS11-02,TS11-02,TS11-02 Fuglegjødsel,,,
4,229,NIN-3.0-T-C-LI-0-0-TS11-01,TS11-01,TS11-01 Pattedyrmøkk,,,
5,230,NIN-3.0-T-C-LI-0-0-TS10-08,TS10-08,TS10-08 Annet avfall av animalsk opprinnelse,,,
6,230,NIN-3.0-T-C-LI-0-0-TS10-07,TS10-07,TS10-07 Tørket bein- og hornmateriale,,,
7,230,NIN-3.0-T-C-LI-0-0-TS10-06,TS10-06,TS10-06 Avfallshauger med animalske rester,,,
8,230,NIN-3.0-T-C-LI-0-0-TS10-05,TS10-05,TS10-05 Insektsamlinger,,,
9,230,NIN-3.0-T-C-LI-0-0-TS10-04,TS10-04,TS10-04 Utstoppete dyr,,,
10,230,NIN-3.0-T-C-LI-0-0-TS10-03,TS10-03,TS10-03 Tørre rester etter døde dyr,,,
11,230,NIN-3.0-T-C-LI-0-0-TS10-02,TS10-02,TS10-02 Bein og horn,,,
12,230,NIN-3.0-T-C-LI-0-0-TS10-01,TS10-01,TS10-01 Åtsler,,,
13,231,NIN-3.0-T-C-LI-0-0-TS09-06,TS09-06,TS09-06 Matvarer og organisk avfall innendørs,,,
14,231,NIN-3.0-T-C-LI-0-0-TS09-05,TS09-05,TS09-05 Tørket plantemateriale,,,
15,231,NIN-3.0-T-C-LI-0-0-TS09-04,TS09-04,TS09-04 Kompost,,,
16,231,NIN-3.0-T-C-LI-0-0-TS09-03,TS09-03,TS09-03 Dødt plantemateriale i flomsonen,,,
17,231,NIN-3.0-T-C-LI-0-0-TS09-02,TS09-02,TS09-02 Dødt plantemateriale i fjæresonen,,,
18,231,NIN-3.0-T-C-LI-0-0-TS09-01,TS09-01,TS09-01 Strøfall,,,
19,232,NIN-3.0-T-C-LI-0-0-TS08-10,TS08-10,TS08-10 Bikube,,,
20,232,NIN-3.0-T-C-LI-0-0-TS08-09,TS08-09,TS08-09 Vepse- og humlebol,,,
21,232,NIN-3.0-T-C-LI-0-0-TS08-08,TS08-08,TS08-08 Maurtue og -bo,,,
22,232,NIN-3.0-T-C-LI-0-0-TS08-07,TS08-07,TS08-07 Fuglereir,,,
23,232,NIN-3.0-T-C-LI-0-0-TS08-06,TS08-06,TS08-06 Bo av større pattedyr,,,
24,232,NIN-3.0-T-C-LI-0-0-TS08-05,TS08-05,TS08-05 Smågnagerbo og -ganger,,,
25,232,NIN-3.0-T-C-LI-0-0-TS08-04,TS08-04,TS08-04 Indre vev hos levende invertebrater,,,
26,232,NIN-3.0-T-C-LI-0-0-TS08-03,TS08-03,TS08-03 Ytre vev hos levende invertebrater,,,
27,232,NIN-3.0-T-C-LI-0-0-TS08-02,TS08-02,TS08-02 Indre vev hos levende vertebrater,,,
28,232,NIN-3.0-T-C-LI-0-0-TS08-01,TS08-01,TS08-01 Ytre vev hos levende vertebrater,,,
29,233,NIN-3.0-T-C-LI-0-0-TS07-05,TS07-05,TS07-05 Lav og kjuker og andre lenge-varende fruktlegemer,,,
30,233,NIN-3.0-T-C-LI-0-0-TS07-04,TS07-04,TS07-04 Underjordisk mycel,,,
31,233,NIN-3.0-T-C-LI-0-0-TS07-03,TS07-03,"TS07-03 Fruktlegemer med løst vev, inkludert jordboende sopp",,,
32,233,NIN-3.0-T-C-LI-0-0-TS07-02,TS07-02,TS07-02 Pulver- og flekkdannende sopp,,,
33,233,NIN-3.0-T-C-LI-0-0-TS07-01,TS07-01,TS07-01 Muggliknende sopp,,,
34,234,NIN-3.0-T-C-LI-0-0-TS06-14,TS06-14,TS06-14 Annet hogstavfall enn bark og sagflis,,,
35,234,NIN-3.0-T-C-LI-0-0-TS06-13,TS06-13,TS06-13 Sagflishaug,,,
36,234,NIN-3.0-T-C-LI-0-0-TS06-12,TS06-12,TS06-12 Barkhaug,,,
37,234,NIN-3.0-T-C-LI-0-0-TS06-11,TS06-11,TS06-11 Rekved,,,
38,234,NIN-3.0-T-C-LI-0-0-TS06-10,TS06-10,TS06-10 Tømmeropplag,,,
39,234,NIN-3.0-T-C-LI-0-0-TS06-09,TS06-09,TS06-09 Sterkt modifisert ved utendørs,,,
40,234,NIN-3.0-T-C-LI-0-0-TS06-08,TS06-08,TS06-08 Sterkt modifisert ved innendørs,,,
41,234,NIN-3.0-T-C-LI-0-0-TS06-07,TS06-07,TS06-07 Sevjeutflod,,,
42,234,NIN-3.0-T-C-LI-0-0-TS06-06,TS06-06,TS06-06 Vedboende sopp,,,
43,234,NIN-3.0-T-C-LI-0-0-TS06-05,TS06-05,TS06-05 Hulhet i tre,,,
44,234,NIN-3.0-T-C-LI-0-0-TS06-04,TS06-04,TS06-04 Bark,,,
45,234,NIN-3.0-T-C-LI-0-0-TS06-03,TS06-03,TS06-03 Stubbe eller liggende død ved,,,
46,234,NIN-3.0-T-C-LI-0-0-TS06-02,TS06-02,TS06-02 Stående død ved,,,
47,234,NIN-3.0-T-C-LI-0-0-TS06-01,TS06-01,TS06-01 Levende og nylig død ved,,,
48,235,NIN-3.0-T-C-LI-0-0-TS05-02,TS05-02,"TS05-02 I bladverk, nåleverk og reproduktive deler av levende forvedete planter på land",,,
49,235,NIN-3.0-T-C-LI-0-0-TS05-01,TS05-01,"TS05-01 På bladverk, nåleverk og reproduktive deler av levende forvedete planter på land",,,
50,236,NIN-3.0-T-C-LI-0-0-TS04-03,TS04-03,"TS04-03 Røtter av levende, ikke forvedete planter på land",,,
51,236,NIN-3.0-T-C-LI-0-0-TS04-02,TS04-02,"TS04-02 I levende, ikke forvedete planter på land",,,
52,236,NIN-3.0-T-C-LI-0-0-TS04-01,TS04-01,"TS04-01 På levende, ikke forvedete planter på land",,,
53,237,NIN-3.0-T-C-LI-0-0-TS03-05,TS03-05,TS03-05 Flytjord,,,
54,237,NIN-3.0-T-C-LI-0-0-TS03-04,TS03-04,TS03-04 I torv,,,
55,237,NIN-3.0-T-C-LI-0-0-TS03-03,TS03-03,TS03-03 På torv,,,
56,237,NIN-3.0-T-C-LI-0-0-TS03-02,TS03-02,TS03-02 I råhumus,,,
57,237,NIN-3.0-T-C-LI-0-0-TS03-01,TS03-01,TS03-01 På råhumus,,,
58,238,NIN-3.0-T-C-LI-0-0-TS02-02,TS02-02,TS02-02 I finere uorganiske substrater på land,,,
59,238,NIN-3.0-T-C-LI-0-0-TS02-01,TS02-01,TS02-01 På finere uorganiske substrater på land,,,
60,239,NIN-3.0-T-C-LI-0-0-TS01-01,TS01-01,TS01-01 Grovere uorganiske substrater på land,,,
61,240,NIN-3.0-T-C-LI-0-0-MU01-01,MU01-01,MU01-01 Substratfrie livsmedier i marine systemer,,,
62,241,NIN-3.0-T-C-LI-0-0-MS09-01,MS09-01,MS09-01 Syntetiske livsmedier i marine systemer,,,
63,242,NIN-3.0-T-C-LI-0-0-MS08-01,MS08-01,MS08-01 Døde dyr i marine systemer,,,
64,243,NIN-3.0-T-C-LI-0-0-MS07-02,MS07-02,MS07-02 Dødt plantemateriale i marine systemer,,,
65,243,NIN-3.0-T-C-LI-0-0-MS07-01,MS07-01,MS07-01 Vedrester,,,
66,244,NIN-3.0-T-C-LI-0-0-MS06-04,MS06-04,MS06-04 Indre vev hos marine invertebrater uten kalkskjelett,,,
67,244,NIN-3.0-T-C-LI-0-0-MS06-03,MS06-03,MS06-03 Ytre vev hos marine invertebrater uten kalkskjelett,,,
68,244,NIN-3.0-T-C-LI-0-0-MS06-02,MS06-02,MS06-02 Indre vev hos marine vertebrater,,,
69,244,NIN-3.0-T-C-LI-0-0-MS06-01,MS06-01,MS06-01 Ytre vev hos marine vertebrater,,,
70,245,NIN-3.0-T-C-LI-0-0-MS05-04,MS05-04,MS05-04 I marine karplanter,,,
71,245,NIN-3.0-T-C-LI-0-0-MS05-03,MS05-03,MS05-03 På marine karplanter,,,
72,245,NIN-3.0-T-C-LI-0-0-MS05-02,MS05-02,MS05-02 I marine alger,,,
73,245,NIN-3.0-T-C-LI-0-0-MS05-01,MS05-01,MS05-01 På marine alger,,,
74,246,NIN-3.0-T-C-LI-0-0-MS04-04,MS04-04,MS04-04 Indre vev i steinkoraller,,,
75,246,NIN-3.0-T-C-LI-0-0-MS04-06,MS04-06,MS04-06 Indre vev i bevegelige organismer med kalkskall,,,
76,246,NIN-3.0-T-C-LI-0-0-MS04-05,MS04-05,MS04-05 Indre vev i andre fastsittende organismer enn steinkoraller,,,
77,246,NIN-3.0-T-C-LI-0-0-MS04-03,MS04-03,MS04-03 Kalkskall på levende organismer med karbonatsubstrater,,,
78,246,NIN-3.0-T-C-LI-0-0-MS04-02,MS04-02,MS04-02 Nærmiljø rundt andre organismer med kalkskall enn steinkoraller,,,
79,246,NIN-3.0-T-C-LI-0-0-MS04-01,MS04-01,MS04-01 Nærmiljø rundt levende steinkoraller,,,
80,247,NIN-3.0-T-C-LI-0-0-MS03-02,MS03-02,MS03-02 I biogene karbonatsubstrater fra døde organismer i marine systemer,,,
81,247,NIN-3.0-T-C-LI-0-0-MS03-01,MS03-01,MS03-01 På biogene karbonatsubstrater fra døde organismer i marine systemer,,,
82,248,NIN-3.0-T-C-LI-0-0-MS02-02,MS02-02,MS02-02 I bløtbunn i marine systemer,,,
83,248,NIN-3.0-T-C-LI-0-0-MS02-01,MS02-01,MS02-01 På bløtbunn i marine systemer,,,
84,249,NIN-3.0-T-C-LI-0-0-MS01-01,MS01-01,MS01-01 Hardbunn i marine systemer,,,
85,250,NIN-3.0-T-C-LI-0-0-FU01-01,FU01-01,FU01-01 Substratfrie livsmedier i ferskvann,,,
86,251,NIN-3.0-T-C-LI-0-0-FS06-01,FS06-01,FS06-01 Syntetiske livsmedier i ferskvann,,,
87,252,NIN-3.0-T-C-LI-0-0-FS05-05,FS05-05,FS05-05 Døde dyr,,,
88,252,NIN-3.0-T-C-LI-0-0-FS05-04,FS05-04,FS05-04 Døde planter,,,
89,252,NIN-3.0-T-C-LI-0-0-FS05-03,FS05-03,FS05-03 Vedrester,,,
90,252,NIN-3.0-T-C-LI-0-0-FS05-02,FS05-02,FS05-02 Dy og gytje,,,
91,252,NIN-3.0-T-C-LI-0-0-FS05-01,FS05-01,FS05-01 Myrtorv,,,
92,253,NIN-3.0-T-C-LI-0-0-FS04-04,FS04-04,FS04-04 Indre vev hos ferskvannsinvertebrater,,,
93,253,NIN-3.0-T-C-LI-0-0-FS04-03,FS04-03,FS04-03 Ytre vev hos ferskvannsinvertebrater,,,
94,253,NIN-3.0-T-C-LI-0-0-FS04-02,FS04-02,FS04-02 Indre vev hos ferskvannsvertebrater,,,
95,253,NIN-3.0-T-C-LI-0-0-FS04-01,FS04-01,FS04-01 Ytre vev hos ferskvannsvertebrater,,,
96,254,NIN-3.0-T-C-LI-0-0-FS03-04,FS03-04,FS03-04 I ferskvannskarplanter og -moser,,,
97,254,NIN-3.0-T-C-LI-0-0-FS03-03,FS03-03,FS03-03 På ferskvannskarplanter og -moser,,,
98,254,NIN-3.0-T-C-LI-0-0-FS03-02,FS03-02,FS03-02 I ferskvannsalger,,,
99,254,NIN-3.0-T-C-LI-0-0-FS03-01,FS03-01,FS03-01 På ferskvannsalger,,,
100,255,NIN-3.0-T-C-LI-0-0-FS02-02,FS02-02,FS02-02 I bløtbunn i ferskvann,,,
101,255,NIN-3.0-T-C-LI-0-0-FS02-01,FS02-01,FS02-01 På bløtbunn i ferskvann,,,
102,256,NIN-3.0-T-C-LI-0-0-FS01-01,FS01-01,FS01-01 Hardbunn i ferskvann,,,
103,260,NIN-3.0-T-C-PE-LA-0-K03-063,K03-063,K03-063 Svært eksponert og svært kupert våtmarkspreget kystslettelandskap mot åpent hav,,,
104,260,NIN-3.0-T-C-PE-LA-0-K03-050,K03-050,K03-050 Eksponert og svært kupert kystslettelandskap på ytre kyst med tett bebyggelse,,,
105,260,NIN-3.0-T-C-PE-LA-0-K03-049,K03-049,K03-049 Eksponert og middels kupert våtmarkspreget kystslettelandskap på ytre kyst med tett bebyggelse,,,
106,260,NIN-3.0-T-C-PE-LA-0-K03-032,K03-032,K03-032 Middels eksponert og middels kupert våtmarkspreget kystslettelandskap med tett bebyggelse,,,
107,260,NIN-3.0-T-C-PE-LA-0-K03-062,K03-062,K03-062 Svært eksponert og svært kupert kystslettelandskap mot åpent hav,,,
108,260,NIN-3.0-T-C-PE-LA-0-K03-061,K03-061,K03-061 Svært eksponert og middels kupert våtmarkspreget kystslettelandskap mot åpent hav,,,
109,260,NIN-3.0-T-C-PE-LA-0-K03-060,K03-060,K03-060 Svært eksponert og middels kupert kystslettelandskap mot åpent hav med by,,,
110,260,NIN-3.0-T-C-PE-LA-0-K03-059,K03-059,K03-059 Svært eksponert og middels kupert kystslettelandskap mot åpent hav med tettsted/småby og jordbruk,,,
111,260,NIN-3.0-T-C-PE-LA-0-K03-058,K03-058,K03-058 Svært eksponert og middels kupert kystslettelandskap mot åpent hav med tettsted/småby,,,
112,260,NIN-3.0-T-C-PE-LA-0-K03-057,K03-057,K03-057 Svært eksponert og middels kupert kystslettelandskap mot åpent hav med tett bebyggelse,,,
113,260,NIN-3.0-T-C-PE-LA-0-K03-056,K03-056,K03-056 Svært eksponert og slakt våtmarkspreget kystslettelandskap mot åpent hav med tettsted/småby,,,
114,260,NIN-3.0-T-C-PE-LA-0-K03-055,K03-055,K03-055 Svært eksponert og slakt våtmarkspreget kystslettelandskap mot åpent hav med tett bebyggelse,,,
115,260,NIN-3.0-T-C-PE-LA-0-K03-054,K03-054,K03-054 Svært eksponert og slakt kystslettelandskap mot åpent hav med tettsted/småby,,,
116,260,NIN-3.0-T-C-PE-LA-0-K03-053,K03-053,K03-053 Svært eksponert og slakt kystslettelandskap mot åpent hav med tett bebyggelse og jordbruk,,,
117,260,NIN-3.0-T-C-PE-LA-0-K03-052,K03-052,K03-052 Svært eksponert og slakt kystslettelandskap mot åpent hav med tett bebyggelse,,,
118,260,NIN-3.0-T-C-PE-LA-0-K03-051,K03-051,K03-051 Eksponert og svært kupert kystslettelandskap på ytre kyst med tettsted/småby,,,
119,260,NIN-3.0-T-C-PE-LA-0-K03-048,K03-048,K03-048 Eksponert og middels kupert kystslettelandskap på ytre kyst med by,,,
120,260,NIN-3.0-T-C-PE-LA-0-K03-047,K03-047,K03-047 Eksponert og middels kupert kystslettelandskap på ytre kyst med tettsted/småby og bebyggelse,,,
121,260,NIN-3.0-T-C-PE-LA-0-K03-046,K03-046,K03-046 Eksponert og middels kupert kystslettelandskap på ytre kyst med tettsted/småby,,,
122,260,NIN-3.0-T-C-PE-LA-0-K03-045,K03-045,K03-045 Eksponert og middels kupert kystslettelandskap på ytre kyst med tett bebyggelse og jordbruk,,,
123,260,NIN-3.0-T-C-PE-LA-0-K03-044,K03-044,K03-044 Eksponert og middels kupert kystslettelandskap på ytre kyst med tett bebyggelse,,,
124,260,NIN-3.0-T-C-PE-LA-0-K03-043,K03-043,K03-043 Eksponert og slakt våtmarkspreget kystslettelandskap på ytre kyst med tettsted/småby,,,
125,260,NIN-3.0-T-C-PE-LA-0-K03-042,K03-042,K03-042 Eksponert og slakt våtmarkspreget kystslettelandskap på ytre kyst med tett bebyggelse,,,
126,260,NIN-3.0-T-C-PE-LA-0-K03-041,K03-041,K03-041 Eksponert og slakt kystslettelandskap på ytre kyst med tettsted/småby og bebyggelse,,,
127,260,NIN-3.0-T-C-PE-LA-0-K03-040,K03-040,K03-040 Eksponert og slakt kystslettelandskap på ytre kyst med tettsted/småby,,,
128,260,NIN-3.0-T-C-PE-LA-0-K03-039,K03-039,K03-039 Eksponert og slakt kystslettelandskap på ytre kyst med tett bebyggelse og jordbruk,,,
129,260,NIN-3.0-T-C-PE-LA-0-K03-038,K03-038,K03-038 Eksponert og slakt kystslettelandskap på ytre kyst med tett bebyggelse,,,
130,260,NIN-3.0-T-C-PE-LA-0-K03-037,K03-037,K03-037 Middels eksponert og svært kupert våtmarkspreget kystslettelandskap med tett bebyggelse og jordbruk,,,
131,260,NIN-3.0-T-C-PE-LA-0-K03-036,K03-036,K03-036 Middels eksponert og svært kupert kystslettelandskap med tettsted/småby,,,
132,260,NIN-3.0-T-C-PE-LA-0-K03-035,K03-035,K03-035 Middels eksponert og svært kupert kystslettelandskap med tett bebyggelse og jordbruk,,,
133,260,NIN-3.0-T-C-PE-LA-0-K03-034,K03-034,K03-034 Middels eksponert og svært kupert kystslettelandskap med tett bebyggelse,,,
134,260,NIN-3.0-T-C-PE-LA-0-K03-033,K03-033,K03-033 Middels eksponert og middels kupert våtmarkspreget kystslettelandskap med tettsted/småby,,,
135,260,NIN-3.0-T-C-PE-LA-0-K03-031,K03-031,K03-031 Middels eksponert og middels kupert kystslettelandskap med by,,,
136,260,NIN-3.0-T-C-PE-LA-0-K03-030,K03-030,K03-030 Middels eksponert og middels kupert kystslettelandskap med tettsted/småby og jordbruk,,,
137,260,NIN-3.0-T-C-PE-LA-0-K03-029,K03-029,K03-029 Middels eksponert og middels kupert kystslettelandskap med tettsted/småby,,,
138,260,NIN-3.0-T-C-PE-LA-0-K03-028,K03-028,K03-028 Middels eksponert og middels kupert kystslettelandskap med tett bebyggelse og jordbruk,,,
139,260,NIN-3.0-T-C-PE-LA-0-K03-027,K03-027,K03-027 Middels eksponert og middels kupert kystslettelandskap med tett bebyggelse,,,
140,260,NIN-3.0-T-C-PE-LA-0-K03-026,K03-026,K03-026 Middels eksponert og middels kupert våtmarkspreget kystslettelandskap med tett bebyggelse,,,
141,260,NIN-3.0-T-C-PE-LA-0-K03-025,K03-025,K03-025 Middels eksponert og middels kupert kystslettelandskap med by,,,
142,260,NIN-3.0-T-C-PE-LA-0-K03-024,K03-024,K03-024 Middels eksponert og slakt kystslettelandskap med tettsted/småby og jordbruk,,,
143,260,NIN-3.0-T-C-PE-LA-0-K03-023,K03-023,K03-023 Middels eksponert og slakt kystslettelandskap med tettsted/småby,,,
144,260,NIN-3.0-T-C-PE-LA-0-K03-022,K03-022,K03-022 Middels eksponert og slakt kystslettelandskap med tett bebyggelse og jordbruk,,,
145,260,NIN-3.0-T-C-PE-LA-0-K03-021,K03-021,K03-021 Middels eksponert og slakt kystslettelandskap med tett bebyggelse,,,
146,260,NIN-3.0-T-C-PE-LA-0-K03-020,K03-020,K03-020 Skjermet og svært kupert våtmarkspreget indre kystslettelandskap med tett bebyggelse,,,
147,260,NIN-3.0-T-C-PE-LA-0-K03-019,K03-019,K03-019 Skjermet og svært kupert indre kystslettelandskap med tettsted/småby,,,
148,260,NIN-3.0-T-C-PE-LA-0-K03-018,K03-018,K03-018 Skjermet og svært kupert indre kystslettelandskap med tett bebyggelse og jordbruk,,,
149,260,NIN-3.0-T-C-PE-LA-0-K03-017,K03-017,K03-017 Skjermet og svært kupert indre kystslettelandskap med tett bebyggelse,,,
150,260,NIN-3.0-T-C-PE-LA-0-K03-016,K03-016,K03-016 Skjermet og middels kupert våtmarkspreget indre kystslettelandskap med tett bebyggelse og jordbruk,,,
151,260,NIN-3.0-T-C-PE-LA-0-K03-015,K03-015,K03-015 Skjermet og middels kupert våtmarkspreget indre kystslettelandskap med tett bebyggelse,,,
152,260,NIN-3.0-T-C-PE-LA-0-K03-014,K03-014,K03-014 Skjermet og middels kupert indre kystslettelandskap med by og jordbruk,,,
153,260,NIN-3.0-T-C-PE-LA-0-K03-013,K03-013,K03-013 Skjermet og middels kupert indre kystslettelandskap med by,,,
154,260,NIN-3.0-T-C-PE-LA-0-K03-012,K03-012,K03-012 Skjermet og middels kupert indre kystslettelandskap med tettsted/småby og jordbruk,,,
155,260,NIN-3.0-T-C-PE-LA-0-K03-011,K03-011,K03-011 Skjermet og middels kupert indre kystslettelandskap med tettsted/småby,,,
156,260,NIN-3.0-T-C-PE-LA-0-K03-010,K03-010,K03-010 Skjermet og middels kupert indre kystslettelandskap med tett bebyggelse og jordbruk,,,
157,260,NIN-3.0-T-C-PE-LA-0-K03-009,K03-009,K03-009 Skjermet og middels kupert indre kystslettelandskap med tett bebyggelse,,,
158,260,NIN-3.0-T-C-PE-LA-0-K03-008,K03-008,K03-008 Skjermet og slakt våtmarkspreget indre kystslettelandskap med tettsted/småby,,,
159,260,NIN-3.0-T-C-PE-LA-0-K03-007,K03-007,K03-007 Skjermet og slakt våtmarkspreget indre kystslettelandskap med tett bebyggelse og jordbruk,,,
160,260,NIN-3.0-T-C-PE-LA-0-K03-006,K03-006,K03-006 Skjermet og slakt våtmarkspreget indre kystslettelandskap med tett bebyggelse,,,
161,260,NIN-3.0-T-C-PE-LA-0-K03-005,K03-005,K03-005 Skjermet og slakt indre kystslettelandskap med by,,,
162,260,NIN-3.0-T-C-PE-LA-0-K03-004,K03-004,K03-004 Skjermet og slakt indre kystslettelandskap med tettsted/småby og jordbruk,,,
163,260,NIN-3.0-T-C-PE-LA-0-K03-003,K03-003,K03-003 Skjermet og slakt indre kystslettelandskap med tettsted/småby,,,
164,260,NIN-3.0-T-C-PE-LA-0-K03-002,K03-002,K03-002 Skjermet og slakt indre kystslettelandskap med tett bebyggelse og jordbruk,,,
165,260,NIN-3.0-T-C-PE-LA-0-K03-001,K03-001,K03-001 Skjermet og slakt indre kystslettelandskap med tett bebyggelse,,,
166,261,NIN-3.0-T-C-PE-LA-0-K02-026,K02-026,K02-026 Dypt nedsskåret fjordlandskap med tettsted/småby,,,
167,261,NIN-3.0-T-C-PE-LA-0-K02-025,K02-025,K02-025 Dypt nedsskåret fjordlandskap med bygd/bebyggelse,,,
168,261,NIN-3.0-T-C-PE-LA-0-K02-024,K02-024,K02-024 Dypt nedsskåret fjordlandskap,,,
169,261,NIN-3.0-T-C-PE-LA-0-K02-023,K02-023,K02-023 Nedsskåret og våtmarkspreget fjordlandskap med bygd/bebyggelse,,,
170,261,NIN-3.0-T-C-PE-LA-0-K02-022,K02-022,K02-022 Nedsskåret og våtmarkspreget fjordlandskap,,,
171,261,NIN-3.0-T-C-PE-LA-0-K02-021,K02-021,K02-021 Nedsskåret fjordlandskap med tettsted/småby og jordbruk,,,
172,261,NIN-3.0-T-C-PE-LA-0-K02-020,K02-020,K02-020 Nedsskåret fjordlandskap med tettsted/småby,,,
173,261,NIN-3.0-T-C-PE-LA-0-K02-019,K02-019,K02-019 Nedsskåret fjordlandskap med bygd/bebyggelse og jordbruk,,,
174,261,NIN-3.0-T-C-PE-LA-0-K02-018,K02-018,K02-018 Nedsskåret fjordlandskap med bygd/bebyggelse,,,
175,261,NIN-3.0-T-C-PE-LA-0-K02-017,K02-017,K02-017 Nedsskåret fjordlandskap,,,
176,261,NIN-3.0-T-C-PE-LA-0-K02-016,K02-016,K02-016 Relativt åpent og våtmarkspreget fjordlandskap med tettsted/småby,,,
177,261,NIN-3.0-T-C-PE-LA-0-K02-015,K02-015,K02-015 Relativt åpent og våtmarkspreget fjordlandskap med bygd/bebyggelse,,,
178,261,NIN-3.0-T-C-PE-LA-0-K02-014,K02-014,K02-014 Relativt åpent og våtmarkspreget fjordlandskap,,,
179,261,NIN-3.0-T-C-PE-LA-0-K02-013,K02-013,K02-013 Relativt åpent fjordlandskap med storby,,,
180,261,NIN-3.0-T-C-PE-LA-0-K02-012,K02-012,K02-012 Relativt åpent fjordlandskap med tettsted/småby og jordbruk,,,
181,261,NIN-3.0-T-C-PE-LA-0-K02-011,K02-011,K02-011 Relativt åpent fjordlandskap med tettsted/småby,,,
182,261,NIN-3.0-T-C-PE-LA-0-K02-010,K02-010,K02-010 Relativt åpent fjordlandskap med bygd/bebyggelse og jordbruk,,,
183,261,NIN-3.0-T-C-PE-LA-0-K02-009,K02-009,K02-009 Relativt åpent fjordlandskap med bygd/bebyggelse,,,
184,261,NIN-3.0-T-C-PE-LA-0-K02-008,K02-008,K02-008 Relativt åpent fjordlandskap,,,
185,261,NIN-3.0-T-C-PE-LA-0-K02-007,K02-007,K02-007 Åpent og våtmarkspreget fjordlandskap med bygd/bebyggelse,,,
186,261,NIN-3.0-T-C-PE-LA-0-K02-006,K02-006,K02-006 Åpent og våtmarkspreget fjordlandskap,,,
187,261,NIN-3.0-T-C-PE-LA-0-K02-005,K02-005,K02-005 Åpent fjordlandskap med storby,,,
188,261,NIN-3.0-T-C-PE-LA-0-K02-004,K02-004,K02-004 Åpent fjordlandskap med tettsted/småby,,,
189,261,NIN-3.0-T-C-PE-LA-0-K02-003,K02-003,K02-003 Åpent fjordlandskap med bygd/bebyggelse og jordbruk,,,
190,261,NIN-3.0-T-C-PE-LA-0-K02-002,K02-002,K02-002 Åpent fjordlandskap med bygd/bebyggelse,,,
191,261,NIN-3.0-T-C-PE-LA-0-K02-001,K02-001,K02-001 Åpent fjordlandskap,,,
192,263,NIN-3.0-T-C-PE-LA-0-I03-036,I03-036,I03-036 Våtmarkspreget kystnært snaufjell-innlandsslettelandskap,,,
193,263,NIN-3.0-T-C-PE-LA-0-I03-035,I03-035,I03-035 Våtmarkspreget kystnært fjellhei-innlandsslettelandskap,,,
194,263,NIN-3.0-T-C-PE-LA-0-I03-034,I03-034,I03-034 Våtmarkspreget kystnært hei- og fjellskog-innlandsslettelandskap,,,
195,263,NIN-3.0-T-C-PE-LA-0-I03-033,I03-033,I03-033 Våtmarkspreget kystnært lavlands-innlandsslettelandskap med bygd/bebyggelse og jordbruk,,,
196,263,NIN-3.0-T-C-PE-LA-0-I03-032,I03-032,I03-032 Våtmarkspreget kystnært lavlands-innlandsslettelandskap med bygd/bebyggelse,,,
197,263,NIN-3.0-T-C-PE-LA-0-I03-031,I03-031,I03-031 Våtmarkspreget kystnært lavlands-innlandsslettelandskap med jordbruk,,,
198,263,NIN-3.0-T-C-PE-LA-0-I03-030,I03-030,I03-030 Våtmarkspreget kystnært lavlands-innlandsslettelandskap,,,
199,263,NIN-3.0-T-C-PE-LA-0-I03-029,I03-029,I03-029 Kystnært snaufjell-innlandsslettelandskap med isbre,,,
200,263,NIN-3.0-T-C-PE-LA-0-I03-028,I03-028,I03-028 Kystnært snaufjell-innlandsslettelandskap,,,
201,263,NIN-3.0-T-C-PE-LA-0-I03-027,I03-027,I03-027 Kystnært fjellhei-innlandsslettelandskap,,,
202,263,NIN-3.0-T-C-PE-LA-0-I03-026,I03-026,I03-026 Kystnært hei- og fjellskog-innlandsslettelandskap,,,
203,263,NIN-3.0-T-C-PE-LA-0-I03-025,I03-025,I03-025 Kystnært lavlands-innlandsslettelandskap med storby,,,
204,263,NIN-3.0-T-C-PE-LA-0-I03-024,I03-024,I03-024 Kystnært lavlands-innlandsslettelandskap med tettsted/småby og jordbruk,,,
205,263,NIN-3.0-T-C-PE-LA-0-I03-023,I03-023,I03-023 Kystnært lavlands-innlandsslettelandskap med tettsted/småby,,,
206,263,NIN-3.0-T-C-PE-LA-0-I03-022,I03-022,I03-022 Kystnært lavlands-innlandsslettelandskap med bygd/bebyggelse og jordbruk,,,
207,263,NIN-3.0-T-C-PE-LA-0-I03-021,I03-021,I03-021 Kystnært lavlands-innlandsslettelandskap med bygd/bebyggelse,,,
208,263,NIN-3.0-T-C-PE-LA-0-I03-020,I03-020,I03-020 Kystnært lavlands-innlandsslettelandskap,,,
209,263,NIN-3.0-T-C-PE-LA-0-I03-019,I03-019,I03-019 Våtmarkspreget snaufjell-innlandsslettelandskap,,,
210,263,NIN-3.0-T-C-PE-LA-0-I03-018,I03-018,I03-018 Våtmarkspreget fjellhei-innlandsslettelandskap,,,
