fid,hovedtyper_fkey,langkode,kode_id,navn
0,293,NiN-3.0-T-C-PE-NA-MB-MM02-M005-02,MM02-M005-02,MM02-M005-02 Sterkt endret marin bunn av uorganisk substrat preget av kronisk kjemisk påvirkning
1,293,NiN-3.0-T-C-PE-NA-MB-MM02-M005-01,MM02-M005-01,MM02-M005-01 Sterkt endret marin fastbunn preget av kronisk kjemisk påvirkning
2,294,NiN-3.0-T-C-PE-NA-MB-MM01-M005-04,MM01-M005-04,MM01-M005-04 Sterkt endret eller ny uorganisk finmaterialfattig marin bunn
3,294,NiN-3.0-T-C-PE-NA-MB-MM01-M005-06,MM01-M005-06,MM01-M005-06 Sterkt endret eller ny marin bunn av dy og gytje
4,294,NiN-3.0-T-C-PE-NA-MB-MM01-M005-05,MM01-M005-05,MM01-M005-05 Sterkt endret eller ny uorganisk noe finmaterialrik til -dominert marin bunn
5,294,NiN-3.0-T-C-PE-NA-MB-MM01-M005-03,MM01-M005-03,MM01-M005-03 Sterkt endret eller ny marin fastbunn i afotisk sone
6,294,NiN-3.0-T-C-PE-NA-MB-MM01-M005-02,MM01-M005-02,MM01-M005-02 Sterkt endret eller ny marin fastbunn i nedre sjøkantbelte til rødalgebeltet
7,294,NiN-3.0-T-C-PE-NA-MB-MM01-M005-01,MM01-M005-01,MM01-M005-01 Sterkt endret eller ny marin fastbunn i øvre sjøkantbelte
8,295,NiN-3.0-T-C-PE-NA-MB-MJ01-M005-01,MJ01-M005-01,MJ01-M005-01 Taretrålingsbunn
9,296,NiN-3.0-T-C-PE-NA-MB-MF01-M005-02,MF01-M005-02,MF01-M005-02 Undervannseng i ekstrembrakt vann
10,296,NiN-3.0-T-C-PE-NA-MB-MF01-M005-01,MF01-M005-01,MF01-M005-01 Undervannseng i nokså brakt vann
11,297,NiN-3.0-T-C-PE-NA-MB-MC10-M005-01,MC10-M005-01,MC10-M005-01 Havis-underside
12,298,NiN-3.0-T-C-PE-NA-MB-MC09-M005-02,MC09-M005-02,MC09-M005-02 Brakkvannspreget havisbunn
13,298,NiN-3.0-T-C-PE-NA-MB-MC09-M005-01,MC09-M005-01,MC09-M005-01 Temmelig til normalsalt havisbunn
14,299,NiN-3.0-T-C-PE-NA-MB-MC08-M005-03,MC08-M005-03,MC08-M005-03 Afotisk periodisk oksygenfri marin bunn
15,299,NiN-3.0-T-C-PE-NA-MB-MC08-M005-04,MC08-M005-04,MC08-M005-04 Afotisk oksygenfri marin bunn
16,299,NiN-3.0-T-C-PE-NA-MB-MC08-M005-02,MC08-M005-02,MC08-M005-02 Eufotisk oksygenfri marin bunn
17,299,NiN-3.0-T-C-PE-NA-MB-MC08-M005-01,MC08-M005-01,MC08-M005-01 Eufotisk periodisk oksygenfri marin bunn
18,300,NiN-3.0-T-C-PE-NA-MB-MC07-M005-03,MC07-M005-03,MC07-M005-03 Svært sterkt til disruptivt jordvarmepåvirket varm havkilde
19,300,NiN-3.0-T-C-PE-NA-MB-MC07-M005-02,MC07-M005-02,MC07-M005-02 Temmelig til sterkt jordvarmepåvirket varm havkilde
20,300,NiN-3.0-T-C-PE-NA-MB-MC07-M005-01,MC07-M005-01,MC07-M005-01 Litt til klart jordvarmepåvirket varm havkilde
21,301,NiN-3.0-T-C-PE-NA-MB-MC06-M005-04,MC06-M005-04,MC06-M005-04 Mudderførende kald havkilde i intermediært vann
22,301,NiN-3.0-T-C-PE-NA-MB-MC06-M005-05,MC06-M005-05,MC06-M005-05 Vann- og gassførende kald havkilde i dyphavsvann
23,301,NiN-3.0-T-C-PE-NA-MB-MC06-M005-03,MC06-M005-03,MC06-M005-03 Vann- og gassførende kald havkilde i intermediært vann
24,301,NiN-3.0-T-C-PE-NA-MB-MC06-M005-02,MC06-M005-02,MC06-M005-02 Mudderførende kald havkilde i atlantisk vann
25,301,NiN-3.0-T-C-PE-NA-MB-MC06-M005-01,MC06-M005-01,MC06-M005-01 Vann- og gassførende kald havkilde i atlantisk vann
26,302,NiN-3.0-T-C-PE-NA-MB-MC05-M005-02,MC05-M005-02,MC05-M005-02 Marine grotter og overheng ovenfor rødalgebeltet
27,302,NiN-3.0-T-C-PE-NA-MB-MC05-M005-03,MC05-M005-03,MC05-M005-03 Marine grotter og overheng i rødalgebeltet og det afotiske beltet
28,302,NiN-3.0-T-C-PE-NA-MB-MC05-M005-01,MC05-M005-01,MC05-M005-01 Marine grotter og overheng i øvre sjøkantbelte
29,303,NiN-3.0-T-C-PE-NA-MB-MC04-M005-05,MC04-M005-05,MC04-M005-05 Ekstrembrakk noe finmaterialrik bunn av uorganisk substrat
30,303,NiN-3.0-T-C-PE-NA-MB-MC04-M005-10,MC04-M005-10,MC04-M005-10 Brakkvannsbunn preget av disruptiv sedimentasjon
31,303,NiN-3.0-T-C-PE-NA-MB-MC04-M005-09,MC04-M005-09,MC04-M005-09 Ekstrembrakk svært kalkrik dy- og gytjebunn
32,303,NiN-3.0-T-C-PE-NA-MB-MC04-M005-08,MC04-M005-08,MC04-M005-08 Ekstrembrakk moderat kalkrik dy- og gytjebunn
33,303,NiN-3.0-T-C-PE-NA-MB-MC04-M005-07,MC04-M005-07,MC04-M005-07 Nokså brakk dy- og gytjebunn
34,303,NiN-3.0-T-C-PE-NA-MB-MC04-M005-06,MC04-M005-06,MC04-M005-06 Ekstrembrakk finmaterialrik bunn av uorganisk substrat
35,303,NiN-3.0-T-C-PE-NA-MB-MC04-M005-04,MC04-M005-04,MC04-M005-04 Ekstrembrakk finmaterialfattig bunn av uorganisk substrat
36,303,NiN-3.0-T-C-PE-NA-MB-MC04-M005-03,MC04-M005-03,MC04-M005-03 Nokså brakk finmaterialrik bunn av uorganisk substrat
37,303,NiN-3.0-T-C-PE-NA-MB-MC04-M005-02,MC04-M005-02,MC04-M005-02 Nokså brakk noe finmaterialrik bunn av uorganisk substrat
38,303,NiN-3.0-T-C-PE-NA-MB-MC04-M005-01,MC04-M005-01,MC04-M005-01 Nokså brakk finmaterialfattig bunn av uorganisk substrat
39,304,NiN-3.0-T-C-PE-NA-MB-MC03-M005-04,MC03-M005-04,MC03-M005-04 Temporært litoralbassengbunn i supralittoral
40,304,NiN-3.0-T-C-PE-NA-MB-MC03-M005-03,MC03-M005-03,MC03-M005-03 Permanent litoralbassengbunn i supralittoral
41,304,NiN-3.0-T-C-PE-NA-MB-MC03-M005-02,MC03-M005-02,MC03-M005-02 Finmaterialrik permanent littoralbassengbunn i geolittoral
42,304,NiN-3.0-T-C-PE-NA-MB-MC03-M005-01,MC03-M005-01,MC03-M005-01 Finmaterialfattig permanent littoralbassengbunn i geolittoral
43,305,NiN-3.0-T-C-PE-NA-MB-MC02-M005-07,MC02-M005-07,MC02-M005-07 Bunn preget av trådalger i ekstrem-brakt vann ovenfor rødalgebeltet
44,305,NiN-3.0-T-C-PE-NA-MB-MC02-M005-04,MC02-M005-04,MC02-M005-04 Moderat eksponert fastbunn i nokså brakt vann i sjøkantnær til midtre sublitoral
45,305,NiN-3.0-T-C-PE-NA-MB-MC02-M005-09,MC02-M005-09,MC02-M005-09 Godt beskyttet bergvegg i nokså brakt vann ovenfor rødalgebeltet
46,305,NiN-3.0-T-C-PE-NA-MB-MC02-M005-08,MC02-M005-08,MC02-M005-08 Moderat til ganske eksponert fastbunn i ekstrem-brakt vann ovenfor rødalgebeltet
47,305,NiN-3.0-T-C-PE-NA-MB-MC02-M005-06,MC02-M005-06,MC02-M005-06 Fastbunn i nokså brakt vann i rødalgebeltet
48,305,NiN-3.0-T-C-PE-NA-MB-MC02-M005-05,MC02-M005-05,MC02-M005-05 Ganske eksponert fastbunn i nokså brakt vann i sjøkantnær til midtre sublitoral
49,305,NiN-3.0-T-C-PE-NA-MB-MC02-M005-03,MC02-M005-03,MC02-M005-03 Ganske eksponert bergvegg i nokså brakt vann i nedre sjøkantbeltet
50,305,NiN-3.0-T-C-PE-NA-MB-MC02-M005-02,MC02-M005-02,MC02-M005-02 Moderat eksponert fastbunn i nokså brakt vann i nedre sjøkantbeltet
51,305,NiN-3.0-T-C-PE-NA-MB-MC02-M005-01,MC02-M005-01,MC02-M005-01 Bunn preget av trådalger i nokså brakt vann ovenfor rødalgebeltet
52,306,NiN-3.0-T-C-PE-NA-MB-MC01-M005-02,MC01-M005-02,MC01-M005-02 Ekstrembrakk fast fjærebeltebunn
53,306,NiN-3.0-T-C-PE-NA-MB-MC01-M005-01,MC01-M005-01,MC01-M005-01 Nokså brakk fast fjærebeltebunn
54,307,NiN-3.0-T-C-PE-NA-MB-MB03-M005-02,MB03-M005-02,MB03-M005-02 Havtilknyttet korallrev-bunn
55,307,NiN-3.0-T-C-PE-NA-MB-MB03-M005-01,MB03-M005-01,MB03-M005-01 Kysttilknyttet korallrev-bunn
56,308,NiN-3.0-T-C-PE-NA-MB-MB02-M005-01,MB02-M005-01,MB02-M005-01 Saltvanns-undervannseng
57,309,NiN-3.0-T-C-PE-NA-MB-MB01-M005-03,MB01-M005-03,MB01-M005-03 Ekstrembrakk helofyttsump
58,309,NiN-3.0-T-C-PE-NA-MB-MB01-M005-02,MB01-M005-02,MB01-M005-02 Nokså brakk helofyttsump
59,309,NiN-3.0-T-C-PE-NA-MB-MB01-M005-01,MB01-M005-01,MB01-M005-01 Salt helofyttsump
60,310,NiN-3.0-T-C-PE-NA-MB-MA06-M005-31,MA06-M005-31,MA06-M005-31 Overveiende uorganisk dyphavsvannssedimentbunn med abyssal næringstilførselsreduksjon
61,310,NiN-3.0-T-C-PE-NA-MB-MA06-M005-30,MA06-M005-30,MA06-M005-30 Afotisk saltvannsbunn av konsolidert leire
62,310,NiN-3.0-T-C-PE-NA-MB-MA06-M005-29,MA06-M005-29,MA06-M005-29 Afotisk saltvannsbunn av dy og gytje
63,310,NiN-3.0-T-C-PE-NA-MB-MA06-M005-28,MA06-M005-28,MA06-M005-28 Korallgrusbunn
64,310,NiN-3.0-T-C-PE-NA-MB-MA06-M005-27,MA06-M005-27,MA06-M005-27 Svampspikelbunn
65,310,NiN-3.0-T-C-PE-NA-MB-MA06-M005-20,MA06-M005-20,MA06-M005-20 Finmaterialrik til -dominert dy- og gytjebunn i dyphavsvann
66,310,NiN-3.0-T-C-PE-NA-MB-MA06-M005-19,MA06-M005-19,MA06-M005-19 Noe finmaterialrik uorganisk grusbunn i dyphavsvann
67,310,NiN-3.0-T-C-PE-NA-MB-MA06-M005-18,MA06-M005-18,MA06-M005-18 Noe finmaterialrik uorganisk sandbunn i dyphavsvann
68,310,NiN-3.0-T-C-PE-NA-MB-MA06-M005-17,MA06-M005-17,MA06-M005-17 Finmaterialfattig uorganisk grusbunn i dyphavsvann
69,310,NiN-3.0-T-C-PE-NA-MB-MA06-M005-16,MA06-M005-16,MA06-M005-16 Finmaterialfattig uorganisk sandbunn i dyphavsvann
